,date_mutation,valeur_fonciere,surface_reelle_bati,code_postal,longitude,latitude
1675809,2014-01-06,170000.0,66.0,69004.0,4.816632,45.779399
1675810,2014-01-09,220000.0,60.0,69004.0,4.822497,45.776321
1675812,2014-01-03,164000.0,66.0,69005.0,4.787471,45.747831
1675814,2014-01-03,126000.0,60.0,69009.0,4.80149,45.770254
1675815,2014-01-13,155120.0,40.0,69004.0,4.835525,45.777301
1675816,2014-01-14,141000.0,63.0,69005.0,4.802879,45.75295
1675818,2014-01-06,345000.0,95.0,69004.0,4.831976,45.778631
1675819,2014-01-15,325000.0,80.0,69005.0,4.827769,45.763732
1675820,2014-01-17,144500.0,43.0,69009.0,4.8331040000000005,45.799659999999996
1675822,2014-01-08,650000.0,150.0,69002.0,4.831139,45.760419
1675823,2014-01-10,123000.0,61.0,69009.0,4.802981,45.787748
1675827,2014-01-17,232000.0,65.0,69001.0,4.834094,45.772312
1675832,2014-01-08,146000.0,51.0,69004.0,4.814905,45.778690999999995
1675838,2014-01-03,158580.0,71.0,69005.0,4.778867,45.753415999999994
1675842,2014-01-06,289999.0,68.0,69004.0,4.825742,45.777928
1675845,2014-01-09,230000.0,73.0,69004.0,4.831353,45.78071
1675846,2014-01-14,155000.0,66.0,69001.0,4.827733,45.772264
1675850,2014-01-09,121290.0,47.0,69009.0,4.820730999999999,45.796324
1675853,2014-01-27,178000.0,69.0,69009.0,4.807175,45.764348999999996
1675858,2014-01-03,304000.0,88.0,69005.0,4.828856,45.765421999999994
1675861,2014-01-13,259200.0,124.0,69005.0,4.808248000000001,45.75553
1675865,2014-01-15,487200.0,124.0,69004.0,4.814385,45.772240999999994
1675868,2014-01-10,285000.0,100.0,69004.0,4.823538,45.783439
1675870,2014-01-09,123525.0,36.0,69001.0,4.828001,45.770677
1675871,2014-01-14,100300.0,52.0,69005.0,4.8186029999999995,45.750731
1675872,2014-01-02,58000.0,13.0,69009.0,4.793468,45.773815
1675874,2014-01-20,159500.0,57.0,69009.0,4.795154,45.785540999999995
1675877,2014-01-06,339500.0,79.0,69002.0,4.828979,45.751689
1675880,2014-01-10,251680.0,62.0,69001.0,4.837011,45.769177
1675881,2014-01-14,90000.0,28.0,69009.0,4.805808,45.772295
1675884,2014-01-10,200000.0,50.0,69005.0,4.823549,45.75631
