,date_mutation,valeur_fonciere,surface_reelle_bati,code_postal,longitude,latitude
1937315,2016-01-11,110300.0,50.0,69009.0,4.804655,45.785231
1937318,2016-01-13,198000.0,71.0,69009.0,4.8075779999999995,45.778875
1937320,2016-01-11,263000.0,107.0,69002.0,4.832325,45.763998
1937322,2016-01-06,279100.0,86.0,69009.0,4.808262,45.783263
1937323,2016-01-05,197790.0,51.0,69001.0,4.833794999999999,45.770107
1937324,2016-01-08,283000.0,81.0,69004.0,4.82383,45.779408000000004
1937331,2016-01-07,555000.0,191.0,69005.0,4.812973,45.748421
1937335,2016-01-13,102100.0,22.0,69002.0,4.820142,45.744794
1937337,2016-01-05,125000.0,54.0,69009.0,4.8273790000000005,45.800911
1937342,2016-01-18,290000.0,74.0,69004.0,4.827547,45.776875
1937347,2016-01-05,180220.0,77.0,69005.0,4.786791,45.760831
1937357,2016-01-07,235000.0,44.0,69002.0,4.8266849999999994,45.751921
1937359,2016-01-08,207320.0,87.0,69005.0,4.778867,45.753415999999994
1937363,2016-01-05,124000.0,69.0,69005.0,4.786061,45.757444
1937366,2016-01-15,199550.0,58.0,69004.0,4.827058999999999,45.779907
1937367,2016-01-06,84563.0,18.0,69009.0,4.800599,45.776531
1937372,2016-01-08,276900.0,82.0,69005.0,4.7977739999999995,45.75666
1937375,2016-01-08,355000.0,69.0,69002.0,4.820671,45.746531
1937379,2016-01-08,178000.0,52.0,69004.0,4.836401,45.774923
1937382,2016-01-06,250700.0,70.0,69004.0,4.8218879999999995,45.774761
1937385,2016-01-11,139380.0,110.0,69004.0,4.827805000000001,45.777522999999995
1937390,2016-01-18,158000.0,57.0,69005.0,4.802636,45.755856
1937391,2016-01-19,144000.0,54.0,69009.0,4.8273790000000005,45.800911
1937394,2016-01-07,244000.0,51.0,69004.0,4.836801,45.780305
1937395,2016-01-18,127000.0,59.0,69009.0,4.802222,45.777708000000004
1937400,2016-01-11,122000.0,36.0,69005.0,4.8185720000000005,45.755204
1937402,2016-01-13,227450.0,68.0,69009.0,4.808262,45.783263
1937406,2016-01-21,202100.0,43.0,69001.0,4.828547,45.772283
1937407,2016-01-13,221500.0,36.0,69004.0,4.840162,45.777867
1937408,2016-01-11,210000.0,60.0,69005.0,4.821969999999999,45.757377000000005
1937410,2016-01-05,209820.0,56.0,69002.0,4.831229,45.75013
1937411,2016-01-18,153000.0,43.0,69004.0,4.832875,45.776528000000006
1937412,2016-01-08,167000.0,62.0,69009.0,4.821393,45.793763
1937415,2016-01-11,261000.0,83.0,69002.0,4.82554,45.751886
1937419,2016-01-11,240000.0,90.0,69004.0,4.817158999999999,45.78008
1937423,2016-01-15,700000.0,150.0,69002.0,4.832007,45.754132
1937426,2016-01-15,307000.0,96.0,69005.0,4.774038,45.752171999999995
1937427,2016-01-04,340000.0,74.0,69005.0,4.823956,45.767171000000005
1937437,2016-01-11,110000.0,37.0,69005.0,4.810676,45.750949
1937438,2016-01-07,313500.0,61.0,69002.0,4.834318,45.761761
1937442,2016-01-26,116100.0,67.0,69009.0,4.802697,45.785959999999996
1937444,2016-01-22,190000.0,64.0,69002.0,4.831157,45.755758
1937445,2016-01-08,138860.0,25.0,69001.0,4.835380000000001,45.766825
1937446,2016-01-27,370200.0,100.0,69005.0,4.811641000000001,45.750173
1937452,2016-01-05,107000.0,57.0,69009.0,4.821956,45.798716
1937453,2016-01-15,138000.0,34.0,69001.0,4.82791,45.769175
