,date_mutation,valeur_fonciere,surface_reelle_bati,code_postal,longitude,latitude
2242858,2017-02-24,230000.0,65.0,69006.0,4.845114,45.772265999999995
2242859,2017-03-13,100000.0,40.0,69003.0,4.854375,45.753625
2242860,2017-02-17,250000.0,72.0,69008.0,4.865843,45.734349
2242861,2017-03-08,145000.0,32.0,69006.0,4.853936,45.76783
2242863,2017-02-28,111800.0,35.0,69008.0,4.877622,45.725463
2242864,2017-03-14,244000.0,57.0,69007.0,4.82932,45.735215000000004
2242866,2017-02-28,259000.0,77.0,69007.0,4.840892,45.753128000000004
2242868,2017-03-07,159000.0,58.0,69007.0,4.829904,45.734173
2242869,2017-02-23,71300.0,21.0,69003.0,4.842932,45.762706
2242870,2017-02-24,780000.0,119.0,69006.0,4.85051,45.783118
2242872,2017-02-23,138000.0,45.0,69008.0,4.860307,45.743388
2242874,2017-02-23,180000.0,44.0,69007.0,4.847187,45.748925
2242876,2017-02-23,225000.0,48.0,69006.0,4.8537360000000005,45.769335999999996
2242878,2017-03-06,160000.0,52.0,69007.0,4.847553,45.753246999999995
2242879,2017-02-24,331100.0,68.0,69003.0,4.877415,45.753073
2242881,2017-02-28,293190.0,82.0,69003.0,4.854248999999999,45.753935999999996
2242885,2017-02-22,135000.0,69.0,69008.0,4.879569,45.7303
2242891,2017-03-06,238600.0,40.0,69003.0,4.864564,45.7554
2242894,2017-02-22,835000.0,185.0,69006.0,4.842893,45.770239000000004
2242897,2017-02-21,237500.0,74.0,69008.0,4.872637999999999,45.744802
2242899,2017-03-10,238000.0,47.0,69006.0,4.851134,45.770662
2242901,2017-02-20,255000.0,86.0,69006.0,4.861389,45.770751000000004
2242904,2017-02-22,220000.0,49.0,69003.0,4.858447,45.751745
2242907,2017-02-17,360000.0,91.0,69003.0,4.874718,45.748111
2242908,2017-02-28,400000.0,117.0,69003.0,4.869194,45.76343
2242911,2017-03-09,346000.0,197.0,69006.0,4.867712,45.766118
2242912,2017-03-06,170000.0,56.0,69003.0,4.869222,45.748026
2242914,2017-02-20,197000.0,72.0,69003.0,4.862893,45.757618
2242916,2017-03-11,129800.0,75.0,69003.0,4.878506,45.75247
2242917,2017-03-11,129800.0,35.0,69003.0,4.878506,45.75247
