,date_mutation,valeur_fonciere,surface_reelle_bati,code_postal,longitude,latitude
1556611,2018-01-06,85605.0,17.0,69009.0,4.804004,45.768488
1556613,2018-01-03,232800.0,40.0,69001.0,4.831404,45.770317999999996
1556616,2018-01-02,260000.0,45.0,69002.0,4.835637,45.759196
1556624,2018-01-08,182100.0,79.0,69005.0,4.781517,45.754104999999996
1556625,2018-01-08,146000.0,34.0,69004.0,4.832068,45.779348
1556628,2018-01-08,565000.0,119.0,69005.0,4.827212,45.762346
1556636,2018-01-09,443550.0,38.0,69004.0,4.832068,45.779348
1556637,2018-01-09,443550.0,45.0,69004.0,4.832068,45.779348
1556638,2018-01-11,313550.0,68.0,69004.0,4.835794,45.776084999999995
1556639,2018-01-10,103000.0,19.0,69005.0,4.826909,45.762840000000004
1556642,2018-01-16,240000.0,75.0,69005.0,4.806853,45.759279
1556646,2018-01-12,250000.0,103.0,69005.0,4.786791,45.760831
1556650,2018-01-12,291400.0,95.0,69005.0,4.797315,45.754569000000004
1556651,2018-01-04,158340.0,81.0,69005.0,4.787471,45.747831
1556652,2018-01-09,165000.0,38.0,69002.0,4.828822,45.756389
1556654,2018-01-11,285000.0,97.0,69005.0,4.804530000000001,45.754818
1556667,2018-01-15,320000.0,95.0,69005.0,4.774038,45.752171999999995
1556681,2018-01-05,431000.0,75.0,69004.0,4.8371580000000005,45.779477
1556683,2018-01-10,345000.0,93.0,69001.0,4.826084,45.769740999999996
1556688,2018-01-09,194600.0,63.0,69009.0,4.804329,45.778267
1556689,2018-01-17,375000.0,79.0,69002.0,4.831123000000001,45.751090000000005
1556693,2018-01-19,615000.0,136.0,69004.0,4.822755,45.778273999999996
1556695,2018-01-10,225000.0,52.0,69004.0,4.838431,45.778483
1556696,2018-01-10,526970.0,104.0,69002.0,4.83285,45.763921
1556702,2018-01-11,238500.0,50.0,69004.0,4.834539,45.778285
1556711,2018-01-08,161900.0,88.0,69005.0,4.78332,45.750748
1556712,2018-01-08,184450.0,89.0,69009.0,4.828809,45.800778
1556713,2018-01-15,200000.0,51.0,69002.0,4.82805,45.746778000000006
1556714,2018-01-08,313450.0,57.0,69004.0,4.832606,45.776953999999996
1556715,2018-01-08,283000.0,86.0,69009.0,4.813067,45.766366999999995
1556717,2018-01-08,283000.0,61.0,69009.0,4.813067,45.766366999999995
1556722,2018-01-18,178400.0,43.0,69009.0,4.801468,45.7717
1556727,2018-01-19,302560.0,57.0,69001.0,4.8325059999999995,45.770194000000004
1556728,2018-01-15,216500.0,60.0,69009.0,4.8027120000000005,45.768411
1556730,2018-01-15,133000.0,45.0,69009.0,4.802128,45.783997
1556731,2018-01-15,145900.0,32.0,69001.0,4.825158,45.771731
1556733,2018-01-17,274500.0,68.0,69005.0,4.774088,45.750840999999994
1556737,2018-01-17,178000.0,88.0,69005.0,4.78332,45.750748
1556743,2018-01-17,445000.0,90.0,69002.0,4.833633,45.761783
1556751,2018-01-05,95000.0,36.0,69005.0,4.805585,45.754659000000004
1556756,2018-01-17,250000.0,51.0,69004.0,4.8303,45.778153
1556758,2018-01-18,315000.0,65.0,69004.0,4.834291,45.775452
1556761,2018-01-09,170000.0,55.0,69009.0,4.807256,45.771667
1556767,2018-01-16,255000.0,103.0,69005.0,4.803684,45.753161999999996
1556769,2018-01-03,308000.0,75.0,69009.0,4.807658,45.770561
1556771,2018-01-10,498750.0,108.0,69001.0,4.829937,45.767184
1556772,2018-01-10,135000.0,25.0,69004.0,4.829434,45.77523
1556783,2018-01-03,100000.0,40.0,69001.0,4.832859,45.771019
1556787,2018-01-19,202000.0,44.0,69004.0,4.823416,45.776579999999996
1556794,2018-01-25,285600.0,50.0,69004.0,4.827381,45.776539
1556795,2018-01-19,140000.0,28.0,69005.0,4.822088,45.753437
1556800,2018-01-08,353050.0,56.0,69002.0,4.83789,45.763717
1556808,2018-01-12,316720.0,70.0,69001.0,4.833511,45.76963
1556810,2018-01-17,551600.0,120.0,69001.0,4.835323000000001,45.767227
1556811,2018-01-19,186250.0,56.0,69009.0,4.8175040000000005,45.766318
1556821,2018-01-09,125000.0,22.0,69001.0,4.832435,45.766417
1556822,2018-01-11,135750.0,51.0,69009.0,4.792123999999999,45.765334
1556824,2018-01-05,138000.0,36.0,69002.0,4.832527,45.760752000000004
1556825,2018-01-23,553200.0,91.0,69004.0,4.817108999999999,45.776838
1556828,2018-01-09,220000.0,70.0,69002.0,4.836513,45.760861
1556829,2018-01-16,268800.0,68.0,69004.0,4.822603,45.777073
1556838,2018-01-04,421800.0,68.0,69004.0,4.82634,45.775028000000006
1556839,2018-01-04,236000.0,62.0,69001.0,4.831848,45.770961
1556841,2018-01-23,100500.0,28.0,69009.0,4.805594,45.780322999999996
1556843,2018-01-22,104000.0,21.0,69002.0,4.832029,45.760942
1556852,2018-01-05,142000.0,35.0,69002.0,4.82805,45.746778000000006
1556854,2018-01-03,64500.0,40.0,69009.0,4.795655,45.78264
1556858,2018-01-08,181850.0,64.0,69005.0,4.808969,45.758518
1556865,2018-01-18,165993.62,41.0,69005.0,4.800885,45.759285999999996
1556867,2018-01-12,416100.0,100.0,69001.0,4.833511,45.76963
1556881,2018-01-22,100000.0,60.0,69005.0,4.826357,45.767296
1556886,2018-01-05,65000.0,92.0,69005.0,4.808305000000001,45.753840999999994
1556893,2018-01-29,217050.0,58.0,69009.0,4.81094,45.771370000000005
1556895,2018-01-09,266750.0,50.0,69004.0,4.829002,45.774919
1556897,2018-01-19,155500.0,65.0,69005.0,4.798531,45.763096000000004
1556898,2018-01-23,388100.75,105.0,69001.0,4.831494999999999,45.766527
