,date_mutation,valeur_fonciere,surface_reelle_bati,code_postal,longitude,latitude
1795990,2015-01-08,203000.0,73.0,69005.0,4.799029,45.753232000000004
1795994,2015-01-06,155000.0,59.0,69005.0,4.786061,45.757444
1796000,2015-01-16,298000.0,85.0,69004.0,4.82681,45.775564
1796001,2015-01-05,124400.0,40.0,69004.0,4.836801,45.780305
1796002,2015-01-09,168856.0,97.0,69005.0,4.777141,45.752955
1796004,2015-01-08,140650.0,73.0,69005.0,4.802879,45.75295
1796009,2015-01-06,623750.0,138.0,69001.0,4.832733999999999,45.765943
1796010,2015-01-06,623750.0,19.0,69001.0,4.832733999999999,45.765943
1796012,2015-01-14,230000.0,36.0,69002.0,4.831531,45.75951
1796015,2015-01-13,332280.0,99.0,69001.0,4.835457,45.768879
1796017,2015-01-14,269800.0,79.0,69004.0,4.832528,45.777932
1796025,2015-01-07,186000.0,37.0,69001.0,4.830082,45.773384
1796026,2015-01-07,186000.0,28.0,69001.0,4.830082,45.773384
1796032,2015-01-09,265700.0,60.0,69001.0,4.835357,45.770866
1796033,2015-01-21,154000.0,53.0,69004.0,4.811307,45.778040999999995
1796035,2015-01-21,244000.0,95.0,69004.0,4.811865,45.7763
1796036,2015-01-23,225000.0,59.0,69002.0,4.831207,45.752567
1796039,2015-01-09,225000.0,45.0,69004.0,4.832921,45.779905
1796042,2015-01-19,256500.0,105.0,69004.0,4.834101,45.778464
1796044,2015-01-02,200000.0,54.0,69005.0,4.783899,45.752559000000005
1796045,2015-01-20,166700.0,49.0,69009.0,4.80295,45.773782000000004
1796048,2015-01-07,447000.0,116.0,69002.0,4.82554,45.751886
1796049,2015-01-06,103000.0,50.0,69009.0,4.802697,45.785959999999996
1796050,2015-01-15,310000.0,86.0,69002.0,4.831504,45.756528
1796053,2015-01-16,568000.0,103.0,69005.0,4.788276000000001,45.751065000000004
1796056,2015-01-12,192690.0,66.0,69005.0,4.79209,45.758592
1796058,2015-01-19,177000.0,68.0,69005.0,4.793515,45.760768
1796060,2015-01-16,155000.0,51.0,69005.0,4.809245,45.755753999999996
1796061,2015-01-16,155000.0,51.0,69005.0,4.809245,45.755753999999996
1796070,2015-01-16,241900.0,68.0,69004.0,4.816424,45.77213
1796071,2015-01-09,203525.0,65.0,69001.0,4.832016,45.767364
1796072,2015-01-13,180000.0,40.0,69005.0,4.821828,45.766915000000004
1796073,2015-01-13,180000.0,40.0,69005.0,4.821828,45.766915000000004
